project_id,department,region,contractor,budget_lakhs,planned_duration_days,actual_duration_days,progress_pct,complaint_count,team_size,previous_delays,material_issues,land_disputes,season_started,delay_score,delay_status,is_delayed
PRJ00030,Education,Vadodara,Rajdhani Works,452.72,82,141,11,162,113,2,0,0,Winter,0.3296,AT_RISK,0
PRJ00031,Parks & Recreation,Ujjain,GovTech Solutions,81.21,482,573,70,180,114,4,0,0,Winter,0.5079,DELAYED,1
PRJ00032,Water Supply,Prayagraj,GovTech Solutions,417.38,626,688,70,37,115,1,0,1,Summer,0.3497,AT_RISK,0
PRJ00033,Parks & Recreation,Patna,ABC Infra Pvt Ltd,105.43,285,353,85,26,95,4,1,0,Winter,0.3791,AT_RISK,0
PRJ00034,Healthcare,Bengaluru Urban,GovTech Solutions,12.88,370,419,100,105,68,2,0,0,Spring,0.276,AT_RISK,0
PRJ00035,Electricity,East Delhi,Rajdhani Works,100.19,501,586,44,78,63,1,0,0,Monsoon,0.4776,DELAYED,1
PRJ00036,Electricity,Warangal,Prime Infra Group,483.46,315,431,44,164,135,3,1,0,Summer,0.6445,DELAYED,1
PRJ00037,Water Supply,Chennai South,GovTech Solutions,19.61,640,781,55,88,85,3,0,1,Winter,0.7846,SEVERELY_DELAYED,1
PRJ00038,Transport,Mysuru,Prime Infra Group,354.54,31,101,66,137,55,2,1,0,Summer,0.3928,AT_RISK,0
PRJ00039,Parks & Recreation,Ajmer,Urban Dev Ltd,360.02,337,410,64,79,109,2,1,1,Summer,0.407,AT_RISK,0
PRJ00040,Housing,Nagpur,Bharat Construction,332.63,418,591,86,191,49,4,1,1,Spring,0.9638,SEVERELY_DELAYED,1
PRJ00041,Housing,Bhagalpur,ABC Infra Pvt Ltd,143.81,470,650,100,148,87,3,1,1,Winter,1.0,SEVERELY_DELAYED,1
PRJ00042,Healthcare,Vadodara,Rajdhani Works,329.6,320,446,65,169,90,0,0,1,Monsoon,0.702,SEVERELY_DELAYED,1
PRJ00043,Healthcare,Gaya,Bharat Construction,12.7,280,431,60,156,23,3,1,0,Monsoon,0.8419,SEVERELY_DELAYED,1
PRJ00044,Electricity,Surat,SmartCity Builders,74.21,35,151,96,197,32,3,0,0,Monsoon,0.6489,DELAYED,1
PRJ00045,Housing,Siliguri,ABC Infra Pvt Ltd,458.78,154,264,58,34,123,5,1,1,Monsoon,0.6165,DELAYED,1
PRJ00046,Transport,Muzaffarpur,Horizon Projects,415.37,591,650,57,40,126,3,1,0,Spring,0.3296,AT_RISK,0
PRJ00047,Education,Ujjain,Horizon Projects,313.56,311,377,56,19,78,1,1,1,Spring,0.3678,AT_RISK,0
PRJ00048,Parks & Recreation,Bhavnagar,National Build Corp,75.84,422,528,88,39,59,0,1,1,Monsoon,0.594,DELAYED,1
PRJ00049,Parks & Recreation,Bhavnagar,Rajdhani Works,31.6,460,640,49,197,10,4,1,1,Spring,1.0,SEVERELY_DELAYED,1
PRJ00050,Roads & Highways,Nizamabad,Prime Infra Group,426.8,459,593,68,191,144,4,0,1,Spring,0.7466,SEVERELY_DELAYED,1
PRJ00051,Healthcare,Coimbatore,SmartCity Builders,15.0,374,516,85,173,108,5,0,1,Spring,0.7927,SEVERELY_DELAYED,1
PRJ00052,Sanitation & Drainage,Ajmer,Horizon Projects,453.51,636,762,72,169,11,0,1,0,Summer,0.703,SEVERELY_DELAYED,1
PRJ00053,Public Safety,Bengaluru Rural,ABC Infra Pvt Ltd,189.86,246,408,58,83,91,3,1,1,Winter,0.9026,SEVERELY_DELAYED,1
PRJ00054,Education,Bhagalpur,National Build Corp,10.18,582,762,6,89,62,5,0,0,Spring,1.0,SEVERELY_DELAYED,1
PRJ00055,Roads & Highways,Chennai North,Bharat Construction,310.86,274,443,16,121,34,4,0,1,Summer,0.9422,SEVERELY_DELAYED,1
PRJ00056,Education,Ujjain,Urban Dev Ltd,303.14,147,237,99,41,84,0,0,1,Monsoon,0.5052,DELAYED,1
PRJ00057,Transport,Varanasi,SmartCity Builders,470.76,233,317,9,151,67,0,1,0,Spring,0.4713,DELAYED,1
PRJ00058,Transport,Patna,ABC Infra Pvt Ltd,266.61,707,807,47,17,134,5,1,0,Winter,0.5584,DELAYED,1
PRJ00059,Electricity,Muzaffarpur,Rajdhani Works,217.04,400,542,81,117,44,3,0,1,Summer,0.7932,SEVERELY_DELAYED,1
PRJ00060,Transport,Gaya,Horizon Projects,232.7,636,816,34,82,67,0,1,1,Spring,1.0,SEVERELY_DELAYED,1
PRJ00061,Healthcare,Jabalpur,Rajdhani Works,168.53,536,655,41,46,129,1,1,1,Spring,0.6665,DELAYED,1
PRJ00062,Parks & Recreation,Coimbatore,FastBuild Co,278.12,559,739,24,21,66,5,1,1,Winter,1.0,SEVERELY_DELAYED,1
PRJ00063,Housing,Jabalpur,Bharat Construction,323.13,532,532,57,4,28,2,0,1,Spring,0.1426,ON_TRACK,0
PRJ00064,Healthcare,Tiruchirappalli,FastBuild Co,236.89,573,728,44,108,145,2,1,1,Winter,0.8663,SEVERELY_DELAYED,1
PRJ00065,Education,Tiruchirappalli,Prime Infra Group,60.77,227,294,40,30,142,5,0,0,Monsoon,0.3769,AT_RISK,0
PRJ00066,Healthcare,Gwalior,Rajdhani Works,362.43,567,634,76,72,30,1,1,0,Winter,0.3749,AT_RISK,0
PRJ00067,Parks & Recreation,Bengaluru Rural,Prime Infra Group,354.16,159,226,35,11,18,4,1,0,Summer,0.375,AT_RISK,0
PRJ00068,Public Safety,Mumbai City,ABC Infra Pvt Ltd,234.96,481,544,43,47,18,2,1,0,Winter,0.3502,AT_RISK,0
PRJ00069,Water Supply,Kolkata North,Rajdhani Works,288.72,84,84,19,38,149,2,0,0,Summer,0.0253,ON_TRACK,0
PRJ00070,Water Supply,Jaipur,SmartCity Builders,387.96,419,599,57,113,81,4,1,1,Monsoon,1.0,SEVERELY_DELAYED,1
PRJ00071,Transport,Ajmer,ABC Infra Pvt Ltd,473.82,242,300,80,54,72,5,0,0,Summer,0.3253,AT_RISK,0
PRJ00072,Healthcare,Bengaluru Rural,Horizon Projects,78.69,448,530,57,176,125,2,0,0,Summer,0.4577,DELAYED,1
PRJ00073,Education,Bhopal,Prime Infra Group,36.05,269,367,33,160,55,3,0,0,Spring,0.5475,DELAYED,1
PRJ00074,Sanitation & Drainage,Coimbatore,GovTech Solutions,30.29,344,477,76,191,150,2,1,0,Summer,0.7395,SEVERELY_DELAYED,1
PRJ00075,Public Safety,Prayagraj,Prime Infra Group,471.37,542,611,69,126,117,0,0,1,Spring,0.3866,AT_RISK,0
PRJ00076,Parks & Recreation,Bikaner,Prime Infra Group,46.12,720,879,73,150,10,5,1,0,Summer,0.8875,SEVERELY_DELAYED,1
PRJ00077,Sanitation & Drainage,Ahmedabad,Horizon Projects,458.08,215,369,74,111,130,0,1,1,Spring,0.8561,SEVERELY_DELAYED,1
PRJ00078,Electricity,Warangal,Urban Dev Ltd,428.94,367,458,52,177,131,2,1,0,Summer,0.5091,DELAYED,1
PRJ00079,Public Safety,Mumbai Suburban,Urban Dev Ltd,161.98,443,512,65,0,143,3,1,0,Winter,0.3864,AT_RISK,0
PRJ00080,Healthcare,Rajkot,Urban Dev Ltd,312.89,82,146,26,68,145,1,1,1,Spring,0.3609,AT_RISK,0
PRJ00081,Public Safety,Pune,ABC Infra Pvt Ltd,355.04,348,402,70,3,146,3,0,0,Monsoon,0.3046,AT_RISK,0
PRJ00082,Water Supply,Siliguri,National Build Corp,249.44,328,508,65,180,74,3,1,1,Monsoon,1.0,SEVERELY_DELAYED,1
PRJ00083,Healthcare,Siliguri,Horizon Projects,192.1,643,818,65,191,39,0,1,1,Monsoon,0.9735,SEVERELY_DELAYED,1
PRJ00084,Parks & Recreation,Patna,Horizon Projects,410.36,319,402,92,76,130,1,1,1,Winter,0.4637,DELAYED,1
PRJ00085,Parks & Recreation,Warangal,Horizon Projects,227.94,359,534,24,178,66,4,1,0,Spring,0.9734,SEVERELY_DELAYED,1
PRJ00086,Electricity,East Delhi,Urban Dev Ltd,352.76,420,512,49,169,43,3,0,0,Spring,0.5149,DELAYED,1
PRJ00087,Housing,Kota,Urban Dev Ltd,437.16,480,648,12,134,121,0,0,1,Summer,0.9341,SEVERELY_DELAYED,1
PRJ00088,Sanitation & Drainage,Central Delhi,Rajdhani Works,169.61,437,567,83,20,89,5,1,1,Winter,0.723,SEVERELY_DELAYED,1
PRJ00089,Public Safety,Bhavnagar,ABC Infra Pvt Ltd,117.77,730,813,36,58,28,3,0,0,Summer,0.4629,DELAYED,1
PRJ00090,Public Safety,Bengaluru Urban,Prime Infra Group,23.47,87,192,37,91,100,3,0,0,Summer,0.5859,DELAYED,1
PRJ00091,Housing,Kolkata South,FastBuild Co,85.41,110,231,78,97,66,3,0,0,Monsoon,0.6768,DELAYED,1
PRJ00092,Public Safety,Lucknow,Prime Infra Group,128.04,39,108,59,73,144,1,0,1,Spring,0.3878,AT_RISK,0
PRJ00093,Parks & Recreation,Kota,Prime Infra Group,345.31,497,542,38,50,103,3,0,0,Spring,0.2509,AT_RISK,0
PRJ00094,Electricity,Jodhpur,Urban Dev Ltd,496.35,332,444,2,168,106,2,0,0,Winter,0.6271,DELAYED,1
PRJ00095,Transport,Gwalior,Rajdhani Works,387.98,265,398,77,90,61,5,0,1,Winter,0.7426,SEVERELY_DELAYED,1
PRJ00096,Sanitation & Drainage,Lucknow,National Build Corp,154.81,481,633,4,148,98,5,0,0,Summer,0.8476,SEVERELY_DELAYED,1
PRJ00097,Education,Hyderabad,SmartCity Builders,100.8,582,745,46,135,133,2,0,1,Monsoon,0.9107,SEVERELY_DELAYED,1
PRJ00098,Public Safety,Gaya,Prime Infra Group,402.21,509,689,9,36,62,5,1,1,Winter,1.0,SEVERELY_DELAYED,1
PRJ00099,Water Supply,Patna,SmartCity Builders,132.6,156,327,58,94,72,4,1,1,Summer,0.9504,SEVERELY_DELAYED,1
PRJ00100,Water Supply,Varanasi,Bharat Construction,13.0,604,775,41,156,61,5,0,1,Spring,0.9536,SEVERELY_DELAYED,1
PRJ00101,Education,Kanpur,SmartCity Builders,70.32,68,113,38,126,34,0,0,0,Summer,0.2509,AT_RISK,0
PRJ00102,Electricity,Siliguri,Urban Dev Ltd,293.88,188,353,53,167,30,3,1,1,Spring,0.9206,SEVERELY_DELAYED,1
PRJ00103,Roads & Highways,Prayagraj,Urban Dev Ltd,221.97,271,374,46,25,99,4,1,0,Monsoon,0.576,DELAYED,1
PRJ00104,Electricity,Coimbatore,Bharat Construction,474.53,495,637,11,169,59,5,0,0,Summer,0.7938,SEVERELY_DELAYED,1
PRJ00105,Parks & Recreation,Chennai North,GovTech Solutions,34.77,597,747,26,150,60,1,1,0,Monsoon,0.8387,SEVERELY_DELAYED,1
PRJ00106,Transport,North Delhi,Prime Infra Group,493.77,583,699,32,44,33,5,0,0,Monsoon,0.6483,DELAYED,1
PRJ00107,Roads & Highways,Nizamabad,Bharat Construction,8.38,301,432,6,32,112,4,0,0,Winter,0.732,SEVERELY_DELAYED,1
PRJ00108,Public Safety,Durgapur,Urban Dev Ltd,226.28,256,256,78,11,138,2,1,0,Summer,0.1922,ON_TRACK,0
PRJ00109,Roads & Highways,Ahmedabad,SmartCity Builders,343.21,532,648,91,113,23,0,1,0,Spring,0.648,DELAYED,1
PRJ00110,Water Supply,Nagpur,Prime Infra Group,190.76,641,726,67,75,121,4,1,0,Winter,0.4748,DELAYED,1
PRJ00111,Water Supply,Darbhanga,Horizon Projects,215.32,263,391,52,86,121,3,1,0,Monsoon,0.7157,SEVERELY_DELAYED,1
PRJ00112,Parks & Recreation,Howrah,Urban Dev Ltd,187.46,186,248,87,121,22,0,0,0,Winter,0.3481,AT_RISK,0
PRJ00113,Electricity,Mumbai City,Urban Dev Ltd,278.41,630,790,71,143,89,5,0,1,Monsoon,0.8942,SEVERELY_DELAYED,1
PRJ00114,Parks & Recreation,Agra,SmartCity Builders,484.22,644,810,39,90,31,4,0,0,Summer,0.9224,SEVERELY_DELAYED,1
PRJ00115,Public Safety,Hubballi,National Build Corp,422.76,406,586,14,195,76,4,0,1,Winter,1.0,SEVERELY_DELAYED,1
PRJ00116,Housing,Ujjain,FastBuild Co,304.69,703,814,88,68,12,1,1,1,Summer,0.6211,DELAYED,1
PRJ00117,Parks & Recreation,Nizamabad,ABC Infra Pvt Ltd,435.0,609,693,84,102,22,1,0,0,Monsoon,0.4676,DELAYED,1
PRJ00118,Housing,Mangaluru,SmartCity Builders,227.1,191,230,47,79,88,4,0,0,Spring,0.2182,AT_RISK,0
PRJ00119,Sanitation & Drainage,Bengaluru Urban,FastBuild Co,337.15,308,488,56,169,113,3,1,1,Summer,1.0,SEVERELY_DELAYED,1
PRJ00120,Education,Mangaluru,Horizon Projects,172.91,143,283,36,173,129,4,1,0,Summer,0.7826,SEVERELY_DELAYED,1
PRJ00121,Healthcare,Kolkata North,FastBuild Co,4.34,338,509,27,196,40,2,1,1,Summer,0.9554,SEVERELY_DELAYED,1
PRJ00122,Water Supply,North Delhi,Rajdhani Works,88.26,419,538,68,180,63,4,1,0,Spring,0.6663,DELAYED,1
PRJ00123,Electricity,Gwalior,ABC Infra Pvt Ltd,9.86,109,289,40,147,114,4,1,1,Spring,1.0,SEVERELY_DELAYED,1
PRJ00124,Education,Pune,SmartCity Builders,483.12,205,282,79,117,97,0,1,0,Summer,0.4319,AT_RISK,0
PRJ00125,Healthcare,Howrah,FastBuild Co,262.22,435,537,39,190,91,1,1,0,Spring,0.5711,DELAYED,1
PRJ00126,Water Supply,Vadodara,National Build Corp,453.01,387,499,44,186,42,1,0,0,Monsoon,0.6233,DELAYED,1
PRJ00127,Education,Mysuru,GovTech Solutions,380.23,701,881,9,45,131,3,1,1,Monsoon,1.0,SEVERELY_DELAYED,1
PRJ00128,Parks & Recreation,Nashik,Rajdhani Works,234.73,676,762,38,70,19,2,0,1,Summer,0.4804,DELAYED,1
PRJ00129,Public Safety,Durgapur,ABC Infra Pvt Ltd,184.68,323,503,9,165,28,4,1,1,Summer,1.0,SEVERELY_DELAYED,1
PRJ00130,Transport,Jaipur,ABC Infra Pvt Ltd,454.57,615,695,83,48,87,4,1,0,Spring,0.4448,AT_RISK,0
PRJ00131,Roads & Highways,Durgapur,National Build Corp,491.2,116,217,64,165,49,0,0,1,Winter,0.5615,DELAYED,1
PRJ00132,Public Safety,Rajkot,Horizon Projects,182.27,319,480,49,104,91,5,0,1,Monsoon,0.8948,SEVERELY_DELAYED,1
PRJ00133,Water Supply,Warangal,National Build Corp,142.43,702,702,77,38,90,0,0,1,Spring,0.1456,ON_TRACK,0
PRJ00134,Education,Kanpur,SmartCity Builders,297.72,116,274,39,143,101,5,1,0,Monsoon,0.8832,SEVERELY_DELAYED,1
PRJ00135,Housing,Mumbai Suburban,SmartCity Builders,9.61,346,442,23,54,92,3,0,0,Winter,0.5356,DELAYED,1
PRJ00136,Sanitation & Drainage,Nashik,National Build Corp,422.29,133,309,64,197,143,5,0,1,Winter,0.9785,SEVERELY_DELAYED,1
PRJ00137,Transport,Nagpur,FastBuild Co,77.55,215,336,88,197,47,5,1,0,Spring,0.6752,DELAYED,1
PRJ00138,Electricity,Karimnagar,Bharat Construction,305.49,489,580,29,136,66,2,1,0,Spring,0.5075,DELAYED,1
PRJ00139,Parks & Recreation,Varanasi,FastBuild Co,231.11,318,459,99,97,133,4,1,0,Spring,0.7869,SEVERELY_DELAYED,1
PRJ00140,Healthcare,Gaya,FastBuild Co,436.56,83,188,82,123,100,4,0,0,Monsoon,0.5838,DELAYED,1
PRJ00141,Education,Mumbai Suburban,GovTech Solutions,224.93,555,735,18,111,28,1,1,1,Winter,1.0,SEVERELY_DELAYED,1
PRJ00142,Roads & Highways,Kolkata South,ABC Infra Pvt Ltd,251.25,271,345,49,20,100,1,0,1,Spring,0.4115,AT_RISK,0
PRJ00143,Water Supply,Bhagalpur,Urban Dev Ltd,69.23,323,495,60,178,40,5,1,1,Monsoon,0.9575,SEVERELY_DELAYED,1
PRJ00144,Transport,North Delhi,National Build Corp,128.33,183,323,70,186,140,3,0,1,Summer,0.7829,SEVERELY_DELAYED,1
PRJ00145,Healthcare,Tiruchirappalli,National Build Corp,119.6,684,782,79,117,21,0,1,0,Summer,0.5482,DELAYED,1
PRJ00146,Housing,Jodhpur,Bharat Construction,145.99,31,193,78,90,66,4,1,0,Monsoon,0.9047,SEVERELY_DELAYED,1
PRJ00147,Water Supply,Rajkot,Urban Dev Ltd,476.73,587,706,64,129,146,0,1,1,Summer,0.6634,DELAYED,1
PRJ00148,Roads & Highways,Lucknow,SmartCity Builders,127.2,46,86,45,17,93,1,0,1,Winter,0.2276,AT_RISK,0
PRJ00149,Sanitation & Drainage,East Delhi,Urban Dev Ltd,406.85,209,364,99,175,123,5,1,0,Winter,0.8665,SEVERELY_DELAYED,1
PRJ00150,Sanitation & Drainage,Central Delhi,Rajdhani Works,147.07,74,167,25,10,85,2,1,1,Summer,0.5208,DELAYED,1
PRJ00151,Education,East Delhi,Bharat Construction,178.81,78,216,83,84,74,0,1,1,Winter,0.7675,SEVERELY_DELAYED,1
PRJ00152,Electricity,Gwalior,Rajdhani Works,169.85,221,320,63,177,132,2,1,0,Spring,0.5543,DELAYED,1
PRJ00153,Electricity,Mumbai Suburban,SmartCity Builders,272.96,358,533,13,20,88,5,1,1,Monsoon,0.9724,SEVERELY_DELAYED,1
PRJ00154,Public Safety,Bikaner,SmartCity Builders,345.04,389,521,57,10,95,4,1,1,Monsoon,0.7363,SEVERELY_DELAYED,1
PRJ00155,Roads & Highways,Central Delhi,SmartCity Builders,256.79,725,905,20,7,41,4,1,0,Winter,1.0,SEVERELY_DELAYED,1
PRJ00156,Sanitation & Drainage,Central Delhi,Bharat Construction,181.39,610,790,4,154,44,5,1,1,Winter,1.0,SEVERELY_DELAYED,1
PRJ00157,Parks & Recreation,Durgapur,National Build Corp,264.97,437,545,40,166,76,1,0,0,Monsoon,0.6006,DELAYED,1
PRJ00158,Sanitation & Drainage,Surat,Horizon Projects,456.81,150,305,33,198,71,5,1,0,Spring,0.8632,SEVERELY_DELAYED,1
PRJ00159,Transport,Madurai,Rajdhani Works,61.76,105,201,57,44,118,0,1,1,Monsoon,0.5366,DELAYED,1
PRJ00160,Water Supply,Jaipur,Horizon Projects,445.72,191,262,91,181,49,2,0,0,Winter,0.396,AT_RISK,0
PRJ00161,Healthcare,Patna,GovTech Solutions,395.29,56,164,46,141,99,3,0,0,Monsoon,0.6018,DELAYED,1
PRJ00162,Water Supply,Tiruchirappalli,SmartCity Builders,263.08,449,498,73,18,37,2,0,1,Spring,0.2751,AT_RISK,0
PRJ00163,Public Safety,Varanasi,Horizon Projects,64.6,594,703,81,150,51,1,1,0,Winter,0.6111,DELAYED,1
PRJ00164,Water Supply,Rajkot,GovTech Solutions,82.75,360,436,90,57,93,4,1,0,Winter,0.4226,AT_RISK,0
PRJ00165,Education,Mysuru,Horizon Projects,63.02,340,451,78,136,28,4,0,0,Winter,0.6174,DELAYED,1
PRJ00166,Sanitation & Drainage,Agra,FastBuild Co,421.34,607,752,5,7,25,0,1,0,Winter,0.8089,SEVERELY_DELAYED,1
PRJ00167,Transport,Kolkata South,FastBuild Co,249.27,672,775,69,74,82,3,0,1,Summer,0.5775,DELAYED,1
PRJ00168,Education,Siliguri,National Build Corp,79.46,455,581,61,118,57,2,0,1,Summer,0.7028,SEVERELY_DELAYED,1
PRJ00169,Parks & Recreation,Indore,Urban Dev Ltd,65.82,409,508,65,143,32,2,0,1,Spring,0.5528,DELAYED,1
PRJ00170,Water Supply,Coimbatore,Rajdhani Works,70.87,81,195,37,98,112,1,0,1,Monsoon,0.6372,DELAYED,1
PRJ00171,Transport,Indore,Urban Dev Ltd,381.68,540,645,65,119,132,2,1,0,Monsoon,0.5877,DELAYED,1
PRJ00172,Water Supply,Kolkata North,Horizon Projects,483.36,250,374,74,90,17,0,1,1,Spring,0.6929,DELAYED,1
PRJ00173,Transport,Bhagalpur,Rajdhani Works,268.58,140,247,55,34,72,5,1,1,Winter,0.5946,DELAYED,1
PRJ00174,Parks & Recreation,East Delhi,SmartCity Builders,285.36,229,368,46,141,78,0,1,1,Summer,0.7739,SEVERELY_DELAYED,1
PRJ00175,Housing,Coimbatore,FastBuild Co,64.77,129,263,50,95,91,4,1,0,Summer,0.7494,SEVERELY_DELAYED,1
PRJ00176,Healthcare,Bikaner,Horizon Projects,250.29,76,154,4,35,90,3,1,0,Spring,0.4379,AT_RISK,0
PRJ00177,Transport,Vadodara,GovTech Solutions,465.72,356,536,20,100,81,4,1,1,Winter,1.0,SEVERELY_DELAYED,1
PRJ00178,Transport,Tiruchirappalli,Rajdhani Works,184.49,719,899,14,106,83,5,0,1,Summer,1.0,SEVERELY_DELAYED,1
PRJ00179,Education,Kanpur,FastBuild Co,360.84,627,731,61,43,139,5,1,0,Monsoon,0.5815,DELAYED,1
PRJ00180,Healthcare,East Delhi,FastBuild Co,95.8,481,653,40,107,43,3,0,1,Summer,0.9604,SEVERELY_DELAYED,1
PRJ00181,Housing,Ujjain,FastBuild Co,436.47,93,172,90,35,137,1,1,1,Spring,0.4438,AT_RISK,0
PRJ00182,Housing,Khammam,Urban Dev Ltd,230.1,575,755,43,139,95,5,1,1,Monsoon,1.0,SEVERELY_DELAYED,1
PRJ00183,Healthcare,Chennai North,Prime Infra Group,112.82,334,446,98,73,58,5,1,1,Winter,0.625,DELAYED,1
PRJ00184,Public Safety,Nizamabad,Horizon Projects,144.25,617,754,86,139,102,3,1,0,Winter,0.7638,SEVERELY_DELAYED,1
PRJ00185,Education,East Delhi,Prime Infra Group,173.51,482,536,83,65,127,1,0,1,Summer,0.3044,AT_RISK,0
PRJ00186,Housing,Prayagraj,Prime Infra Group,55.06,630,750,30,62,17,5,0,0,Monsoon,0.67,DELAYED,1
PRJ00187,Roads & Highways,Mumbai City,SmartCity Builders,358.82,132,258,87,197,40,0,0,1,Winter,0.7031,SEVERELY_DELAYED,1
PRJ00188,Public Safety,Ahmedabad,Bharat Construction,160.92,691,871,7,196,27,5,0,0,Winter,1.0,SEVERELY_DELAYED,1
PRJ00189,Sanitation & Drainage,Kolkata South,GovTech Solutions,498.59,436,574,100,126,52,5,1,0,Summer,0.7707,SEVERELY_DELAYED,1
PRJ00190,Roads & Highways,Tiruchirappalli,FastBuild Co,464.26,373,503,36,116,144,4,1,0,Summer,0.724,SEVERELY_DELAYED,1
PRJ00191,Housing,Siliguri,Prime Infra Group,404.5,368,548,20,187,122,5,1,0,Monsoon,1.0,SEVERELY_DELAYED,1
PRJ00192,Roads & Highways,Gwalior,Urban Dev Ltd,284.11,227,387,22,156,108,3,1,0,Winter,0.8899,SEVERELY_DELAYED,1
PRJ00193,Electricity,Agra,National Build Corp,490.85,518,646,41,63,6,2,1,0,Monsoon,0.715,SEVERELY_DELAYED,1
PRJ00194,Public Safety,Jabalpur,Prime Infra Group,151.32,616,744,1,66,97,5,0,0,Winter,0.7128,SEVERELY_DELAYED,1
PRJ00195,Water Supply,Siliguri,Prime Infra Group,203.01,544,706,90,197,84,5,0,1,Monsoon,0.9021,SEVERELY_DELAYED,1
PRJ00196,Parks & Recreation,Ajmer,Bharat Construction,478.7,519,699,19,116,100,3,1,0,Monsoon,1.0,SEVERELY_DELAYED,1
PRJ00197,Healthcare,Varanasi,FastBuild Co,262.99,570,657,90,92,24,4,0,0,Summer,0.4881,DELAYED,1
PRJ00198,Housing,Vadodara,Bharat Construction,82.69,562,653,56,29,57,5,1,0,Monsoon,0.5108,DELAYED,1
