text,category,priority
Park walls have graffiti in Nagar Panchayat,Parks,Low
No maintenance of Puram Extension garden since 30 days,Parks,Medium
Garbage dump near Block 3 residential area,Sanitation,Medium
Footover bridge broken near Colony B station,Transport,High
No drinking water in Colony B park,Parks,Low
Footover bridge broken near Colony B station,Transport,High
No toilets in Mohalla 7 government school,Education,Low
Illegal electrical connections spotted in Nagar Panchayat,Electricity,Low
Ambulance service not responding in Mohalla 7,Healthcare,Critical
Street lights not working on Temple Road since 10 days,Electricity,Low
Garbage dump near Ward 12 residential area,Sanitation,High
Unsafe scaffolding near Old Delhi Road,Construction,Low
Garbage burning near Block 3 school,Sanitation,Medium
Park gate broken in Ward 12,Parks,Low
School building in bad condition in Town Area,Education,Low
Children playground dirty and unsafe in Ward 12,Parks,Low
Road encroachment by shops on Old Delhi Road,Road,Medium
Power cut every day in Ward 12 for 21 hours,Electricity,High
Open defecation area near Sector 5 school,Sanitation,Critical
Electricity bill error for Nagar Panchayat residents,Electricity,Low
Theft incidents increasing in Mohalla 7 locality,Safety,High
No water supply for past 14 days in Block 3,Water,Low
No safety net during construction in Colony B,Construction,Medium
Footover bridge broken near Nagar Panchayat station,Transport,Medium
No security guard in Sector 5 park,Parks,Low
No water pressure in building in Zone 4,Water,High
Street lights not working on Ring Road since 2 days,Electricity,High
No doctors available at PHC in Nagar Panchayat for 7 days,Healthcare,High
Waste collection vehicle not coming to Village Kalan,Sanitation,High
Bus routes reduced suddenly in Town Area,Transport,Medium
No bus shelter at Nagar Panchayat bus stop,Transport,Medium
Expired medicines given at Sector 5 clinic,Healthcare,Critical
Ambulance service not responding in Zone 4,Healthcare,High
Playground equipment damaged in Town Area park,Parks,Low
Auto drivers overcharging passengers in Puram Extension,Transport,Low
School building in bad condition in Mohalla 7,Education,Medium
Expired medicines given at Zone 4 clinic,Healthcare,Critical
Drain blocked for 2 days in Colony B,Sanitation,High
Bridge has cracks need urgent repair on Market Street,Road,Medium
Suspicious activity near ATM in Village Kalan,Safety,High
Public toilet not maintained in Village Kalan,Sanitation,Low
Park fountains not working in Nagar Panchayat,Parks,Low
Grass not trimmed in Sector 5 public garden,Parks,Low
Bins not emptied since last week in Sector 5,Sanitation,High
Computer lab non-functional in Mohalla 7 school,Education,High
Dead animals not removed from NH-8,Sanitation,Critical
Garbage burning near Town Area school,Sanitation,High
No footpath for pedestrians on Station Road,Transport,Low
Children playground dirty and unsafe in Mohalla 7,Parks,Low
Untrained teachers in Colony B primary school,Education,High
Suspicious activity near ATM in Sector 5,Safety,Critical
Divider damaged on Ring Road main street,Road,Medium
Bridge has cracks need urgent repair on Hospital Road,Road,Medium
Construction noise during night hours in Mohalla 7,Construction,Medium
Power cut every day in Block 3 for 2 hours,Electricity,High
Leaking water pipe wasting water on School Lane,Water,Low
Medical equipment not working in Village Kalan hospital,Healthcare,High
Rowdy elements troubling residents of Zone 4,Safety,Medium
Dead animals not removed from Old Delhi Road,Sanitation,High
Rowdy elements troubling residents of Mohalla 7,Safety,Medium
Auto drivers overcharging passengers in Puram Extension,Transport,Low
No security guard in Zone 4 park,Parks,Low
Garden lights not working in Ward 12 park,Parks,Low
Unmarked speed breaker causing accidents on Hospital Road,Road,Low
Garden lights not working in Mohalla 7 park,Parks,Low
No ambulance available in Mohalla 7,Healthcare,Critical
Drug dealing happening in Nagar Panchayat park,Safety,High
Street flooding on Old Delhi Road during monsoon,Road,Low
Medical equipment not working in Colony B hospital,Healthcare,High
No bus shelter at Sector 5 bus stop,Transport,High
Bins not emptied since last week in Town Area,Sanitation,Medium
Grass not trimmed in Ward 12 public garden,Parks,Medium
Street harassment near Colony B school daily,Safety,Critical
Road is completely broken near Puram Extension since 30 days,Road,Medium
Encroachment in Zone 4 public park area,Parks,Low
Street harassment near Village Kalan school daily,Safety,Critical
Park fountains not working in Block 3,Parks,Low
Bus routes reduced suddenly in Puram Extension,Transport,Medium
School roof leaking during rain in Puram Extension,Education,Low
Public toilet not maintained in Zone 4,Sanitation,Medium
Road waterlogged after rain near Colony B,Road,Low
No toilets in Sector 5 government school,Education,Low
Police not patrolling Town Area area since 21 days,Safety,High
Sewage overflow on Old Delhi Road street near Ward 12,Sanitation,Medium
Large pothole on Main Bazaar causing accidents near Nagar Panchayat,Road,High
Encroachment in Puram Extension public park area,Parks,Low
Dirty conditions in Village Kalan government hospital,Healthcare,Medium
Illegal construction blocking Station Road in Colony B,Construction,Low
Road dividers removed illegally on School Lane,Transport,Low
No last mile connectivity in Sector 5,Transport,Low
Police not patrolling Village Kalan area since 7 days,Safety,High
Park occupied by illegal vendors in Zone 4,Parks,Medium
No toilets in Ward 12 government school,Education,Low
Unmarked speed breaker causing accidents on Old Delhi Road,Road,Medium
Hospital ward overcrowded in Puram Extension,Healthcare,Critical
Unauthorized extension built in Colony B,Construction,Medium
No water pressure in building in Colony B,Water,Low
Power outage in Puram Extension colony since morning,Electricity,Medium
Road construction debris not cleared near Sector 5,Road,High
Street harassment near Village Kalan school daily,Safety,Medium
Construction debris on footpath on Old Delhi Road,Construction,High
Auto drivers overcharging passengers in Mohalla 7,Transport,Low
Open defecation area near Zone 4 school,Sanitation,Low
Anganwadi center closed for 3 days in Nagar Panchayat,Education,Medium
Water meter showing wrong reading in Village Kalan,Water,Critical
Expired medicines given at Mohalla 7 clinic,Healthcare,Critical
Sewage mixing with drinking water in Town Area,Water,Medium
Building under construction without permit in Mohalla 7,Construction,Medium
No doctors available at PHC in Ward 12 for 30 days,Healthcare,Medium
Security cameras not working in Town Area market,Safety,Critical
Drain blocked for 2 days in Sector 5,Sanitation,High
No road markings visible at night on NH-8,Road,Low
Road construction debris not cleared near Ward 12,Road,Low
Trees fallen in Nagar Panchayat park after storm,Parks,Low
Health worker absent from Block 3 since 21 days,Healthcare,High
Rowdy elements troubling residents of Nagar Panchayat,Safety,Critical
No ASHA worker in Town Area area since 3 days,Healthcare,Medium
E-rickshaw causing traffic jam in Nagar Panchayat,Transport,Low
No ASHA worker in Block 3 area since 30 days,Healthcare,Critical
Drug dealing happening in Sector 5 park,Safety,Critical
Lights flickering in Ward 12 residential area,Electricity,Medium
No lighting in dark lanes near Colony B,Safety,Medium
Open drain overflowing near Mohalla 7 homes,Sanitation,Medium
Medical equipment not working in Puram Extension hospital,Healthcare,Critical
Open defecation area near Town Area school,Sanitation,High
Vaccination camp not organized in Nagar Panchayat,Healthcare,High
No drinking water in Town Area park,Parks,Medium
Illegal parking blocking School Lane in Village Kalan,Transport,High
No last mile connectivity in Zone 4,Transport,Low
Broken road divider on NH-8 is dangerous,Road,High
No electricity for 30 days in Town Area,Electricity,High
Theft incidents increasing in Mohalla 7 locality,Safety,Critical
Government hospital lacks medicines in Zone 4,Healthcare,High
Medical equipment not working in Sector 5 hospital,Healthcare,High
Suspicious activity near ATM in Zone 4,Safety,High
Park fountains not working in Colony B,Parks,Low
E-rickshaw causing traffic jam in Block 3,Transport,Low
Building under construction without permit in Zone 4,Construction,High
No parking facility near Town Area market,Transport,Low
Encroachment in Village Kalan public park area,Parks,Low
Long queues at Zone 4 government dispensary,Healthcare,Critical
Illegal liquor shop operating openly in Ward 12,Safety,Critical
Water supply disrupted since 3 days,Water,High
Rubble dumped on Ring Road by contractor,Construction,High
Water supply cut off for 21 days in Ward 12,Water,Low
No last mile connectivity in Colony B,Transport,Low
Vaccination camp not organized in Colony B,Healthcare,Medium
Unsafe scaffolding near MG Road,Construction,High
Dead animals not removed from Ring Road,Sanitation,Critical
No electricity for 14 days in Puram Extension,Electricity,Low
Hospital building in bad condition in Ward 12,Healthcare,Medium
Park occupied by illegal vendors in Nagar Panchayat,Parks,Medium
Broken road divider on Main Bazaar is dangerous,Road,Medium
Demolition without safety measures in Village Kalan,Construction,High
No toilets in Colony B government school,Education,Low
Illegal water connection in Ward 12,Water,Critical
Water tank overflow flooding Station Road,Water,High
Sewage overflow on Main Bazaar street near Colony B,Sanitation,High
Road dividers removed illegally on Old Delhi Road,Transport,Medium
Unauthorized commercial construction in Colony B,Construction,High
No drinking water in Nagar Panchayat school,Education,Medium
Road is completely broken near Zone 4 since 21 days,Road,Medium
Scholarship money not distributed in Zone 4,Education,Low
Electric box sparking near Sector 5 school,Electricity,Medium
Road waterlogged after rain near Nagar Panchayat,Road,Low
Road is completely broken near Nagar Panchayat since 2 days,Road,High
Park gate broken in Town Area,Parks,Low
Underground water leakage on Temple Road,Water,Critical
Electric meter not working properly in Ward 12,Electricity,Low
Unauthorized commercial construction in Colony B,Construction,Low
Untrained teachers in Mohalla 7 primary school,Education,High
Water meter showing wrong reading in Village Kalan,Water,Low
Water tank overflow flooding Hospital Road,Water,Low
Grass not trimmed in Zone 4 public garden,Parks,Low
Park benches broken and unusable in Sector 5,Parks,Low
Illegal water connection in Ward 12,Water,Low
Construction debris on footpath on MG Road,Construction,Low
Hospital ward overcrowded in Block 3,Healthcare,Critical
Computer lab non-functional in Town Area school,Education,High
No toilets in Village Kalan government school,Education,Low
School missing benches for students in Nagar Panchayat,Education,Low
Trees fallen in Block 3 park after storm,Parks,Low
Park walls have graffiti in Sector 5,Parks,Low
Waste collection vehicle not coming to Nagar Panchayat,Sanitation,High
No toilets in Zone 4 government school,Education,High
No drinking water in Village Kalan school,Education,Low
No ambulance available in Block 3,Healthcare,Critical
Street lights not working on Market Street since 3 days,Electricity,Medium
Traffic signals not working on School Lane,Transport,Medium
Ambulance service not responding in Village Kalan,Healthcare,Medium
No electricity for 5 days in Nagar Panchayat,Electricity,High
Computer lab non-functional in Nagar Panchayat school,Education,High
Night watchman absent from Sector 5,Safety,High
Park fountains not working in Block 3,Parks,Low
Water tanker not arriving on schedule in Zone 4,Water,Critical
School missing benches for students in Block 3,Education,High
No water pressure in building in Ward 12,Water,High
Water tanker not arriving on schedule in Block 3,Water,High
Dirty brown water coming from tap in Zone 4,Water,Medium
Anganwadi center closed for 5 days in Block 3,Education,High
Water meter showing wrong reading in Colony B,Water,Critical
Street flooding on NH-8 during monsoon,Road,High
Dirty brown water coming from tap in Town Area,Water,Medium
No doctors available at PHC in Ward 12 for 10 days,Healthcare,High
No maintenance of Sector 5 garden since 14 days,Parks,Medium
Security cameras not working in Town Area market,Safety,Critical
Dirty brown water coming from tap in Nagar Panchayat,Water,Medium
No specialist doctor in Town Area PHC,Healthcare,High
Construction affecting water supply in Sector 5,Construction,Low
Traffic signals not working on Ring Road,Transport,Medium
No footpath for pedestrians on Main Bazaar,Transport,High
Power outage in Town Area colony since morning,Electricity,Medium
Construction blocking entrance to Village Kalan school,Construction,Low
Unsafe scaffolding near Ring Road,Construction,Medium
No water supply for past 21 days in Mohalla 7,Water,High
Power cut every day in Puram Extension for 5 hours,Electricity,Low
Encroachment in Colony B public park area,Parks,Low
Road encroachment by shops on NH-8,Road,Low
Scholarship money not distributed in Zone 4,Education,Medium
Electricity bill error for Block 3 residents,Electricity,High
Anganwadi center closed for 30 days in Sector 5,Education,Medium
Sewage overflow on Station Road street near Village Kalan,Sanitation,Medium
No water supply for past 2 days in Zone 4,Water,High
Water tank overflow flooding Main Bazaar,Water,Critical
Encroachment in Puram Extension public park area,Parks,Low
No specialist doctor in Nagar Panchayat PHC,Healthcare,Medium
No sports facilities in Zone 4 school,Education,Medium
Computer lab non-functional in Nagar Panchayat school,Education,Medium
Trees fallen in Colony B park after storm,Parks,Low
No security guard in Nagar Panchayat park,Parks,Low
Children playground dirty and unsafe in Nagar Panchayat,Parks,Low
No water supply for past 14 days in Town Area,Water,High
Park gate broken in Block 3,Parks,Low
Potholes causing vehicle damage on Market Street,Road,Medium
No ambulance available in Village Kalan,Healthcare,Medium
Bridge has cracks need urgent repair on MG Road,Road,Medium
No footpath for pedestrians on Hospital Road,Transport,Low
No bus shelter at Puram Extension bus stop,Transport,Low
Theft incidents increasing in Nagar Panchayat locality,Safety,Medium
Electric meter not working properly in Colony B,Electricity,High
Health worker absent from Puram Extension since 5 days,Healthcare,Medium
Street lights not working on MG Road since 21 days,Electricity,Low
Library books damaged in Village Kalan school,Education,High
Water supply cut off for 21 days in Mohalla 7,Water,Critical
Traffic signals not working on Hospital Road,Transport,Low
Garden lights not working in Puram Extension park,Parks,Low
Power cut every day in Puram Extension for 7 hours,Electricity,Low
No ASHA worker in Block 3 area since 3 days,Healthcare,High
Electric meter not working properly in Mohalla 7,Electricity,High
Overloaded vehicles causing accidents on MG Road,Transport,High
Footover bridge broken near Mohalla 7 station,Transport,Low
Street harassment near Nagar Panchayat school daily,Safety,Medium
CCTV cameras not working on MG Road,Transport,Medium
Long queues at Nagar Panchayat government dispensary,Healthcare,Medium
Park fountains not working in Town Area,Parks,Low
Chain snatching incidents in Puram Extension area,Safety,Critical
Divider damaged on Hospital Road main street,Road,High
No bus shelter at Nagar Panchayat bus stop,Transport,Medium
Water pipe burst on NH-8 flooding the street,Water,Critical
No maintenance of Puram Extension garden since 5 days,Parks,Medium
Playground equipment damaged in Block 3 park,Parks,Low
Park benches broken and unusable in Zone 4,Parks,Low
School roof leaking during rain in Town Area,Education,Medium
Open drain overflowing near Sector 5 homes,Sanitation,Medium
Illegal water connection in Colony B,Water,Critical
Electricity bill error for Block 3 residents,Electricity,High
Street flooding on Hospital Road during monsoon,Road,Medium
Garbage burning near Town Area school,Sanitation,High
Park occupied by illegal vendors in Block 3,Parks,Low
Transformer blew up near Village Kalan market,Electricity,Medium
No dustbin provided in Puram Extension market,Sanitation,Low
Street harassment near Colony B school daily,Safety,High
Construction work damaging water pipeline in Village Kalan,Construction,Medium
Illegal construction blocking School Lane in Town Area,Construction,Medium
Power outage in Zone 4 colony since morning,Electricity,Low
Stray dogs near garbage dump in Nagar Panchayat,Sanitation,High
Park gate broken in Village Kalan,Parks,Low
No street lights on dark Ring Road lane,Electricity,Low
Street flooding on NH-8 during monsoon,Road,High
Government hospital lacks medicines in Zone 4,Healthcare,High
School roof leaking during rain in Block 3,Education,High
No drinking water in Nagar Panchayat school,Education,Low
Stray dogs near garbage dump in Sector 5,Sanitation,High
Road construction debris not cleared near Colony B,Road,Medium
No safety net during construction in Sector 5,Construction,High
No ambulance available in Ward 12,Healthcare,High
Mid-day meal not provided in Town Area school,Education,Low
Teachers absent regularly from Sector 5 school,Education,Low
Garbage burning near Village Kalan school,Sanitation,High
No last mile connectivity in Village Kalan,Transport,Low
Illegal electrical connections spotted in Ward 12,Electricity,High
No power supply during festival in Block 3,Electricity,Low
Children playground dirty and unsafe in Sector 5,Parks,Low
Drain blocked for 30 days in Colony B,Sanitation,Medium
No boundary wall in Colony B school,Education,Medium
Unauthorized extension built in Nagar Panchayat,Construction,Low
Traffic signals not working on MG Road,Transport,Low
Rowdy elements troubling residents of Village Kalan,Safety,Medium
School missing benches for students in Block 3,Education,High
Electric meter not working properly in Puram Extension,Electricity,High
Police not patrolling Mohalla 7 area since 21 days,Safety,High
Scholarship money not distributed in Block 3,Education,Low
Water pipeline broken near Sector 5 school,Water,Low
Building violating height norms in Nagar Panchayat,Construction,Medium
Mid-day meal not provided in Puram Extension school,Education,Low
No power supply during festival in Town Area,Electricity,High
No security guard in Colony B park,Parks,Low
Building violating height norms in Block 3,Construction,High
Power cut every day in Village Kalan for 14 hours,Electricity,Low
Divider damaged on MG Road main street,Road,Medium
No water supply for past 7 days in Puram Extension,Water,Low
No lighting in dark lanes near Nagar Panchayat,Safety,Medium
School roof leaking during rain in Nagar Panchayat,Education,High
School missing benches for students in Block 3,Education,High
Garbage not collected for 5 days in Ward 12,Sanitation,Low
Grass not trimmed in Block 3 public garden,Parks,Low
Security cameras not working in Mohalla 7 market,Safety,Medium
Road is completely broken near Block 3 since 3 days,Road,Critical
Water meter showing wrong reading in Nagar Panchayat,Water,Critical
Security cameras not working in Colony B market,Safety,Critical
No parking facility near Nagar Panchayat market,Transport,Medium
Park pathway broken and dangerous in Sector 5,Parks,Low
Divider damaged on MG Road main street,Road,High
Medical equipment not working in Ward 12 hospital,Healthcare,High
No ambulance available in Puram Extension,Healthcare,Critical
Garbage burning near Puram Extension school,Sanitation,Medium
Stray dogs near garbage dump in Village Kalan,Sanitation,High
No last mile connectivity in Mohalla 7,Transport,Medium
Trees fallen in Puram Extension park after storm,Parks,Medium
Street flooding on Hospital Road during monsoon,Road,High
No safety net during construction in Block 3,Construction,High
High voltage wire hanging low on Ring Road,Electricity,High
Building violating height norms in Colony B,Construction,Medium
Electricity bill error for Block 3 residents,Electricity,High
No toilets in Puram Extension government school,Education,High
Bins not emptied since last week in Puram Extension,Sanitation,Medium
Water tank overflow flooding School Lane,Water,Critical
No specialist doctor in Zone 4 PHC,Healthcare,High
Hospital building in bad condition in Colony B,Healthcare,Medium
No ASHA worker in Town Area area since 2 days,Healthcare,High
Road cave-in near Nagar Panchayat drainage line,Road,Low
Long queues at Village Kalan government dispensary,Healthcare,Critical
Illegal construction blocking MG Road in Sector 5,Construction,Low
Electric meter not working properly in Town Area,Electricity,High
Vaccination camp not organized in Village Kalan,Healthcare,Critical
Large pothole on Old Delhi Road causing accidents near Sector 5,Road,High
Street lights not working on Market Street since 2 days,Electricity,Medium
No drinking water in Block 3 park,Parks,Medium
Open drain overflowing near Colony B homes,Sanitation,High
Drain blocked for 14 days in Town Area,Sanitation,Low
Computer lab non-functional in Colony B school,Education,Medium
Garbage not collected for 10 days in Zone 4,Sanitation,High
Theft incidents increasing in Puram Extension locality,Safety,Critical
Blood bank not available in Mohalla 7 hospital,Healthcare,High
Illegal liquor shop operating openly in Sector 5,Safety,Medium
Lights flickering in Sector 5 residential area,Electricity,Low
Electricity bill error for Zone 4 residents,Electricity,Low
Park occupied by illegal vendors in Colony B,Parks,Low
Construction work damaging water pipeline in Town Area,Construction,High
Theft incidents increasing in Mohalla 7 locality,Safety,Medium
Health worker absent from Puram Extension since 14 days,Healthcare,Medium
Illegal weapons spotted near Nagar Panchayat,Safety,Medium
Construction work damaging water pipeline in Puram Extension,Construction,High
Power cut every day in Puram Extension for 21 hours,Electricity,Low
Water supply cut off for 30 days in Nagar Panchayat,Water,Critical
No dustbin provided in Puram Extension market,Sanitation,Medium
Unsafe scaffolding near Old Delhi Road,Construction,High
Stray dogs near garbage dump in Village Kalan,Sanitation,Critical
Children playground dirty and unsafe in Colony B,Parks,Low
School missing benches for students in Block 3,Education,Medium
Construction blocking entrance to Colony B school,Construction,Medium
No power supply during festival in Nagar Panchayat,Electricity,Medium
Street flooding on Ring Road during monsoon,Road,Medium
Transformer blew up near Puram Extension market,Electricity,Low
Teachers absent regularly from Block 3 school,Education,Medium
Street flooding on Ring Road during monsoon,Road,High
No parking facility near Mohalla 7 market,Transport,Low
Grass not trimmed in Mohalla 7 public garden,Parks,Medium
Dirty brown water coming from tap in Zone 4,Water,Medium
E-rickshaw causing traffic jam in Village Kalan,Transport,Low
Waste collection vehicle not coming to Zone 4,Sanitation,High
Medical equipment not working in Town Area hospital,Healthcare,High
Waste collection vehicle not coming to Mohalla 7,Sanitation,Critical
Unauthorized commercial construction in Nagar Panchayat,Construction,Low
Large pothole on Market Street causing accidents near Town Area,Road,Low
No ambulance available in Ward 12,Healthcare,Critical
Traffic signals not working on Hospital Road,Transport,Medium
Untrained teachers in Sector 5 primary school,Education,Low
Hospital building in bad condition in Mohalla 7,Healthcare,Medium
Lights flickering in Town Area residential area,Electricity,High
Public toilet not maintained in Sector 5,Sanitation,Medium
Park walls have graffiti in Colony B,Parks,Low
Demolition without safety measures in Zone 4,Construction,Low
Road construction debris not cleared near Mohalla 7,Road,Low
Demolition without safety measures in Mohalla 7,Construction,Low
Waste collection vehicle not coming to Mohalla 7,Sanitation,High
Road is completely broken near Zone 4 since 21 days,Road,High
No drinking water in Town Area school,Education,Low
Demolition without safety measures in Puram Extension,Construction,Medium
Open defecation area near Town Area school,Sanitation,Medium
Water supply cut off for 2 days in Block 3,Water,Low
Park benches broken and unusable in Ward 12,Parks,Low
Vaccination camp not organized in Ward 12,Healthcare,Critical
Public toilet not maintained in Colony B,Sanitation,Low
E-rickshaw causing traffic jam in Village Kalan,Transport,Medium
Electric meter not working properly in Mohalla 7,Electricity,Medium
Garbage not collected for 21 days in Block 3,Sanitation,Critical
Road encroachment by shops on Station Road,Road,High
No ASHA worker in Sector 5 area since 7 days,Healthcare,Critical
Sewage smell unbearable near Town Area,Sanitation,Critical
Children playground dirty and unsafe in Puram Extension,Parks,Low
Dirty brown water coming from tap in Block 3,Water,High
Playground equipment damaged in Puram Extension park,Parks,Medium
E-rickshaw causing traffic jam in Village Kalan,Transport,Low
School missing benches for students in Mohalla 7,Education,High
Lights flickering in Zone 4 residential area,Electricity,High
Vaccination camp not organized in Sector 5,Healthcare,High
No dustbin provided in Ward 12 market,Sanitation,Medium
Power cut every day in Nagar Panchayat for 3 hours,Electricity,Medium
Long queues at Mohalla 7 government dispensary,Healthcare,High
No parking facility near Sector 5 market,Transport,Medium
Dirty brown water coming from tap in Zone 4,Water,Medium
Grass not trimmed in Zone 4 public garden,Parks,Medium
Water pipe burst on Temple Road flooding the street,Water,Low
No boundary wall in Zone 4 school,Education,High
Building violating height norms in Village Kalan,Construction,Low
No ASHA worker in Ward 12 area since 5 days,Healthcare,Critical
Expired medicines given at Ward 12 clinic,Healthcare,Critical
Electric meter not working properly in Colony B,Electricity,High
Garbage burning near Sector 5 school,Sanitation,High
School has no blackboards in Block 3,Education,Low
Potholes causing vehicle damage on School Lane,Road,High
Stray dogs near garbage dump in Colony B,Sanitation,Medium
Water tank overflow flooding Old Delhi Road,Water,Critical
Stray dogs near garbage dump in Village Kalan,Sanitation,High
Road dividers removed illegally on Station Road,Transport,Medium
Construction dust affecting Mohalla 7 residents,Construction,Low
Park fountains not working in Colony B,Parks,Low
No ambulance available in Ward 12,Healthcare,Medium
School missing benches for students in Mohalla 7,Education,Low
Park occupied by illegal vendors in Puram Extension,Parks,Low
Park gate broken in Ward 12,Parks,Low
No lighting in dark lanes near Mohalla 7,Safety,High
Computer lab non-functional in Zone 4 school,Education,Low
Mid-day meal not provided in Zone 4 school,Education,Medium
Water tank overflow flooding Hospital Road,Water,High
Construction blocking entrance to Sector 5 school,Construction,Low
Suspicious activity near ATM in Block 3,Safety,Critical
Park fountains not working in Zone 4,Parks,Medium
Gambling den operating in Puram Extension,Safety,Critical
No ASHA worker in Colony B area since 3 days,Healthcare,Critical
Children playground dirty and unsafe in Mohalla 7,Parks,Low
Garbage burning near Block 3 school,Sanitation,Critical
Library books damaged in Nagar Panchayat school,Education,High
Water meter showing wrong reading in Puram Extension,Water,Low
Construction work damaging water pipeline in Village Kalan,Construction,Medium
Drug dealing happening in Town Area park,Safety,Medium
Scholarship money not distributed in Colony B,Education,High
Contaminated water supply causing illness in Nagar Panchayat,Water,Medium
High voltage wire hanging low on MG Road,Electricity,Medium
Playground equipment damaged in Ward 12 park,Parks,Low
Electric box sparking near Puram Extension school,Electricity,High
Demolition without safety measures in Village Kalan,Construction,Medium
School has no blackboards in Town Area,Education,Low
Construction work damaging water pipeline in Mohalla 7,Construction,Medium
Construction noise during night hours in Puram Extension,Construction,Medium
Theft incidents increasing in Colony B locality,Safety,Medium
Park benches broken and unusable in Colony B,Parks,Low
Playground equipment damaged in Mohalla 7 park,Parks,Low
No parking facility near Sector 5 market,Transport,Medium
Open defecation area near Town Area school,Sanitation,High
Transformer blew up near Ward 12 market,Electricity,High
No road markings visible at night on Hospital Road,Road,High
Library books damaged in Colony B school,Education,Medium
Expired medicines given at Ward 12 clinic,Healthcare,Critical
Water supply cut off for 2 days in Sector 5,Water,High
No parking facility near Nagar Panchayat market,Transport,Low
CCTV cameras vandalized near Puram Extension,Safety,Critical
No footpath for pedestrians on Hospital Road,Transport,Medium
Sewage mixing with drinking water in Block 3,Water,Critical
Demolition without safety measures in Puram Extension,Construction,Low
Electric poles damaged after storm near Village Kalan,Electricity,Medium
No ASHA worker in Sector 5 area since 2 days,Healthcare,Critical
No parking facility near Zone 4 market,Transport,Low
No maintenance of Mohalla 7 garden since 3 days,Parks,Low
High voltage wire hanging low on NH-8,Electricity,High
Playground equipment damaged in Block 3 park,Parks,Low
Illegal weapons spotted near Village Kalan,Safety,High
Dirty conditions in Puram Extension government hospital,Healthcare,Critical
Bins not emptied since last week in Ward 12,Sanitation,Medium
Bridge has cracks need urgent repair on Main Bazaar,Road,Low
Water tank overflow flooding Main Bazaar,Water,Low
No doctors available at PHC in Zone 4 for 30 days,Healthcare,High
No doctors available at PHC in Colony B for 3 days,Healthcare,Critical
Children playground dirty and unsafe in Block 3,Parks,Medium
Blood bank not available in Mohalla 7 hospital,Healthcare,Critical
Leaking water pipe wasting water on Main Bazaar,Water,Critical
Blood bank not available in Puram Extension hospital,Healthcare,Critical
Ambulance service not responding in Zone 4,Healthcare,Critical
No toilets in Town Area government school,Education,High
No toilets in Mohalla 7 government school,Education,Low
Water supply disrupted since 10 days,Water,High
Long queues at Mohalla 7 government dispensary,Healthcare,Medium
Dirty drain causing disease spread in Colony B,Sanitation,High
Mid-day meal not provided in Puram Extension school,Education,Medium
No water pressure in building in Village Kalan,Water,Low
Park occupied by illegal vendors in Nagar Panchayat,Parks,Low
Park walls have graffiti in Town Area,Parks,Low
Water pipeline broken near Village Kalan school,Water,High
Unsafe scaffolding near Market Street,Construction,High
Construction blocking entrance to Sector 5 school,Construction,Low
Scholarship money not distributed in Zone 4,Education,High
Unmarked speed breaker causing accidents on Market Street,Road,Medium
Electric poles damaged after storm near Block 3,Electricity,Low
Footpath broken and dangerous for walkers near Town Area,Road,High
Road is completely broken near Block 3 since 7 days,Road,Low
Computer lab non-functional in Village Kalan school,Education,Medium
Suspicious activity near ATM in Puram Extension,Safety,Critical
Sewage mixing with drinking water in Block 3,Water,Medium
No drinking water in Block 3 park,Parks,Medium
CCTV cameras not working on NH-8,Transport,Medium
