feedback_text,sentiment,rating,category,ward
Water pipeline replacement work in progress,NEUTRAL,3,Transport,Ward 32
"Electricity outages have reduced significantly, great work",POSITIVE,4,Roads,Ward 7
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Public Safety,Ward 5
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Electricity,Ward 1
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Education,Ward 28
"Complained 10 times about potholes, zero response",NEGATIVE,1,Transport,Ward 37
Water pipeline replacement work in progress,NEUTRAL,3,Sanitation,Ward 42
Project started but no updates for 6 months,NEGATIVE,1,Transport,Ward 26
Road marking work will start after monsoon,NEUTRAL,3,Roads,Ward 38
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Water,Ward 48
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Transport,Ward 10
"Contractor used substandard materials, work failing",NEGATIVE,1,Healthcare,Ward 8
Solar street lights are a wonderful initiative,POSITIVE,4,Sanitation,Ward 32
New traffic signals have reduced accidents in our area,POSITIVE,4,Transport,Ward 1
Road repair work is ongoing in our sector,NEUTRAL,3,Education,Ward 4
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Healthcare,Ward 11
Great improvement in garbage collection frequency,POSITIVE,4,Healthcare,Ward 31
Traffic signal upgrade project is under review,NEUTRAL,3,Education,Ward 32
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Sanitation,Ward 19
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Parks,Ward 24
Project started but no updates for 6 months,NEGATIVE,2,Sanitation,Ward 14
New hospital wing is a great addition to our area,POSITIVE,4,Sanitation,Ward 3
Road widening project completed ahead of schedule,POSITIVE,4,Education,Ward 26
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Public Safety,Ward 28
Power outage scheduled for maintenance work,NEUTRAL,3,Roads,Ward 30
Bridge inspection scheduled for next week,NEUTRAL,3,Parks,Ward 17
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Parks,Ward 7
Street light maintenance scheduled for this weekend,NEUTRAL,3,Roads,Ward 39
Project completion date extended by two months,NEUTRAL,3,Healthcare,Ward 16
Road repair work is ongoing in our sector,NEUTRAL,3,Parks,Ward 8
Garbage collection timings have been changed to morning,NEUTRAL,3,Transport,Ward 46
Hospital renovation work started last month,NEUTRAL,3,Sanitation,Ward 44
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Sanitation,Ward 9
New contractor assigned for road repair work,NEUTRAL,3,Parks,Ward 14
Traffic signal upgrade project is under review,NEUTRAL,3,Roads,Ward 11
Road repair work is ongoing in our sector,NEUTRAL,3,Public Safety,Ward 40
Drainage cleaning drive happening next week,NEUTRAL,3,Education,Ward 9
Work order issued for pothole repair,NEUTRAL,3,Education,Ward 38
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Water,Ward 10
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Construction,Ward 39
Road widening project completed ahead of schedule,POSITIVE,5,Transport,Ward 35
Public toilet construction tender has been floated,NEUTRAL,3,Roads,Ward 26
Garbage collection timings have been changed to morning,NEUTRAL,3,Construction,Ward 21
Authorities not responding to any complaints,NEGATIVE,2,Transport,Ward 12
"Complaint registered, under review by department",NEUTRAL,3,Sanitation,Ward 48
"Park renovation looks beautiful, children love it",POSITIVE,4,Transport,Ward 36
New bus route announcement expected soon,NEUTRAL,3,Construction,Ward 25
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Water,Ward 12
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Public Safety,Ward 38
New hospital wing is a great addition to our area,POSITIVE,4,Construction,Ward 45
Electricity cut for 3 days without any information,NEGATIVE,1,Public Safety,Ward 13
Drainage cleaning drive happening next week,NEUTRAL,3,Healthcare,Ward 42
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Transport,Ward 36
New traffic signals have reduced accidents in our area,POSITIVE,5,Roads,Ward 1
New hospital wing is a great addition to our area,POSITIVE,4,Public Safety,Ward 2
New hospital wing is a great addition to our area,POSITIVE,4,Construction,Ward 25
Solar street lights are a wonderful initiative,POSITIVE,4,Water,Ward 45
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Electricity,Ward 24
Project started but no updates for 6 months,NEGATIVE,2,Transport,Ward 35
"The road repair was completed on time, very happy with the work",POSITIVE,5,Sanitation,Ward 16
The construction work was neat and professional,POSITIVE,4,Healthcare,Ward 16
Electricity department working on transformer upgrade,NEUTRAL,3,Sanitation,Ward 20
New contractor assigned for road repair work,NEUTRAL,3,Electricity,Ward 29
New school building construction is progressing well,POSITIVE,4,Healthcare,Ward 32
"Park renovation looks beautiful, children love it",POSITIVE,5,Electricity,Ward 18
"Water supply erratic, pressure very low",NEGATIVE,1,Construction,Ward 32
"Bus route cancelled without notice, people suffering",NEGATIVE,2,Parks,Ward 23
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Roads,Ward 42
"The government responded quickly to our complaint, well done",POSITIVE,4,Roads,Ward 25
Road repair work is ongoing in our sector,NEUTRAL,3,Public Safety,Ward 42
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Electricity,Ward 41
New project for park development announced for our ward,NEUTRAL,3,Healthcare,Ward 25
Road marking work will start after monsoon,NEUTRAL,3,Healthcare,Ward 44
"Water quality has improved, no more complaints from residents",POSITIVE,5,Parks,Ward 8
The sanitation team is doing a commendable job,POSITIVE,5,Sanitation,Ward 15
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Electricity,Ward 46
"Park facilities broken, children getting hurt",NEGATIVE,1,Public Safety,Ward 15
Road dug up for pipeline but not restored for months,NEGATIVE,1,Education,Ward 27
Work order issued for pothole repair,NEUTRAL,3,Sanitation,Ward 21
Project completion date extended by two months,NEUTRAL,3,Parks,Ward 44
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Electricity,Ward 49
New traffic signals have reduced accidents in our area,POSITIVE,4,Sanitation,Ward 20
Happy with the prompt response from civic authorities,POSITIVE,5,Parks,Ward 21
Electricity department working on transformer upgrade,NEUTRAL,3,Sanitation,Ward 24
Project completion date extended by two months,NEUTRAL,3,Electricity,Ward 34
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Construction,Ward 34
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Education,Ward 29
Road widening project expected to complete next month,NEUTRAL,3,Electricity,Ward 42
Committee formed to review delayed projects,NEUTRAL,3,Education,Ward 21
Project started but no updates for 6 months,NEGATIVE,1,Water,Ward 42
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Water,Ward 1
"Water quality has improved, no more complaints from residents",POSITIVE,4,Sanitation,Ward 17
"Park facilities broken, children getting hurt",NEGATIVE,1,Education,Ward 32
Garbage collection timings have been changed to morning,NEUTRAL,3,Parks,Ward 27
Hospital renovation work started last month,NEUTRAL,3,Roads,Ward 23
Construction of new school building underway,NEUTRAL,3,Parks,Ward 41
Water pipeline replacement work in progress,NEUTRAL,3,Roads,Ward 7
Authorities not responding to any complaints,NEGATIVE,1,Healthcare,Ward 23
New hospital wing is a great addition to our area,POSITIVE,4,Transport,Ward 6
Survey completed for new drainage line,NEUTRAL,3,Electricity,Ward 17
Electricity cut for 3 days without any information,NEGATIVE,2,Electricity,Ward 28
New hospital wing is a great addition to our area,POSITIVE,5,Public Safety,Ward 45
"Park facilities broken, children getting hurt",NEGATIVE,1,Sanitation,Ward 19
Drainage cleaning drive happening next week,NEUTRAL,3,Water,Ward 27
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Water,Ward 34
The sanitation team is doing a commendable job,POSITIVE,4,Sanitation,Ward 40
Traffic signal upgrade project is under review,NEUTRAL,3,Construction,Ward 14
Drainage cleaning drive happening next week,NEUTRAL,3,Water,Ward 5
Electricity department working on transformer upgrade,NEUTRAL,3,Parks,Ward 32
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Parks,Ward 32
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Water,Ward 46
"Complained 10 times about potholes, zero response",NEGATIVE,2,Construction,Ward 15
Water pipeline replacement work in progress,NEUTRAL,3,Water,Ward 8
New traffic signals have reduced accidents in our area,POSITIVE,5,Roads,Ward 44
Solar street lights are a wonderful initiative,POSITIVE,5,Water,Ward 38
Water pipeline replacement work in progress,NEUTRAL,3,Sanitation,Ward 31
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Parks,Ward 12
Project started but no updates for 6 months,NEGATIVE,1,Electricity,Ward 25
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Transport,Ward 31
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Sanitation,Ward 28
New project for park development announced for our ward,NEUTRAL,3,Electricity,Ward 16
Happy with the prompt response from civic authorities,POSITIVE,4,Parks,Ward 31
Work order issued for pothole repair,NEUTRAL,3,Public Safety,Ward 45
"Bus frequency has increased, commuting is easier",POSITIVE,5,Public Safety,Ward 1
Electricity department working on transformer upgrade,NEUTRAL,3,Healthcare,Ward 10
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Education,Ward 29
New contractor assigned for road repair work,NEUTRAL,3,Roads,Ward 18
The contractor did excellent work on the drainage project,POSITIVE,5,Water,Ward 22
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Water,Ward 47
Road widening project expected to complete next month,NEUTRAL,3,Transport,Ward 1
Street light maintenance scheduled for this weekend,NEUTRAL,3,Sanitation,Ward 1
Work order issued for pothole repair,NEUTRAL,3,Healthcare,Ward 8
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Parks,Ward 50
"Bus frequency has increased, commuting is easier",POSITIVE,4,Parks,Ward 25
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Education,Ward 30
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Public Safety,Ward 4
Public toilet construction tender has been floated,NEUTRAL,3,Education,Ward 12
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Electricity,Ward 13
Construction of new school building underway,NEUTRAL,3,Roads,Ward 24
Road dug up for pipeline but not restored for months,NEGATIVE,1,Electricity,Ward 6
Garbage collection timings have been changed to morning,NEUTRAL,3,Education,Ward 20
"Water supply erratic, pressure very low",NEGATIVE,1,Public Safety,Ward 39
"Water quality has improved, no more complaints from residents",POSITIVE,4,Roads,Ward 45
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Electricity,Ward 45
Construction of new school building underway,NEUTRAL,3,Construction,Ward 49
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Water,Ward 49
The bridge repair was done with high quality materials,POSITIVE,5,Roads,Ward 49
New traffic signals have reduced accidents in our area,POSITIVE,5,Healthcare,Ward 43
Road marking work will start after monsoon,NEUTRAL,3,Transport,Ward 23
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Sanitation,Ward 41
Traffic signal upgrade project is under review,NEUTRAL,3,Roads,Ward 19
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Transport,Ward 15
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Water,Ward 29
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Public Safety,Ward 3
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Electricity,Ward 11
"Construction noise at midnight, residents suffering",NEGATIVE,2,Transport,Ward 17
"Bus frequency has increased, commuting is easier",POSITIVE,5,Healthcare,Ward 31
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Public Safety,Ward 14
"Garbage not collected for a week, health hazard",NEGATIVE,1,Parks,Ward 42
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Water,Ward 34
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Parks,Ward 26
Road dug up for pipeline but not restored for months,NEGATIVE,1,Roads,Ward 38
Road marking work will start after monsoon,NEUTRAL,3,Transport,Ward 21
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,2,Public Safety,Ward 22
Traffic signal upgrade project is under review,NEUTRAL,3,Roads,Ward 15
Survey completed for new drainage line,NEUTRAL,3,Parks,Ward 44
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Construction,Ward 15
Project completion date extended by two months,NEUTRAL,3,Water,Ward 30
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Parks,Ward 42
Road widening project completed ahead of schedule,POSITIVE,5,Roads,Ward 37
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Public Safety,Ward 44
Work order issued for pothole repair,NEUTRAL,3,Construction,Ward 5
Drainage cleaning drive happening next week,NEUTRAL,3,Roads,Ward 26
"Water supply erratic, pressure very low",NEGATIVE,2,Parks,Ward 46
Garbage collection timings have been changed to morning,NEUTRAL,3,Roads,Ward 35
Drainage cleaning drive happening next week,NEUTRAL,3,Transport,Ward 45
Survey completed for new drainage line,NEUTRAL,3,Water,Ward 21
New traffic signals have reduced accidents in our area,POSITIVE,5,Transport,Ward 2
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Healthcare,Ward 11
"Park facilities broken, children getting hurt",NEGATIVE,1,Water,Ward 2
"The road repair was completed on time, very happy with the work",POSITIVE,4,Healthcare,Ward 4
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Roads,Ward 31
New project for park development announced for our ward,NEUTRAL,3,Water,Ward 28
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Education,Ward 6
New bus route announcement expected soon,NEUTRAL,3,Construction,Ward 3
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Transport,Ward 36
"The road repair was completed on time, very happy with the work",POSITIVE,5,Electricity,Ward 9
"Park facilities broken, children getting hurt",NEGATIVE,1,Electricity,Ward 48
Construction of new school building underway,NEUTRAL,3,Transport,Ward 11
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Parks,Ward 29
Environmental clearance received for park project,NEUTRAL,3,Healthcare,Ward 13
Project completion date extended by two months,NEUTRAL,3,Construction,Ward 23
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Water,Ward 49
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Transport,Ward 38
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Construction,Ward 48
"Contractor used substandard materials, work failing",NEGATIVE,2,Roads,Ward 36
"Water supply erratic, pressure very low",NEGATIVE,2,Roads,Ward 26
"Contractor used substandard materials, work failing",NEGATIVE,2,Parks,Ward 38
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Education,Ward 30
"Park renovation looks beautiful, children love it",POSITIVE,4,Transport,Ward 35
Public toilet construction tender has been floated,NEUTRAL,3,Electricity,Ward 23
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Public Safety,Ward 6
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Electricity,Ward 13
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Transport,Ward 23
"Road marking done properly, reduces accidents at night",POSITIVE,5,Sanitation,Ward 18
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Healthcare,Ward 45
Project started but no updates for 6 months,NEGATIVE,1,Healthcare,Ward 32
Garbage collection timings have been changed to morning,NEUTRAL,3,Education,Ward 37
"Park renovation looks beautiful, children love it",POSITIVE,4,Electricity,Ward 28
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Parks,Ward 44
Road widening project expected to complete next month,NEUTRAL,3,Transport,Ward 44
Traffic signal upgrade project is under review,NEUTRAL,3,Construction,Ward 7
New project for park development announced for our ward,NEUTRAL,3,Electricity,Ward 24
"The government responded quickly to our complaint, well done",POSITIVE,4,Sanitation,Ward 13
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Water,Ward 10
"Garbage not collected for a week, health hazard",NEGATIVE,2,Sanitation,Ward 7
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Water,Ward 37
Street light maintenance scheduled for this weekend,NEUTRAL,3,Public Safety,Ward 7
The sanitation team is doing a commendable job,POSITIVE,4,Roads,Ward 43
Traffic signal upgrade project is under review,NEUTRAL,3,Roads,Ward 1
"Road marking done properly, reduces accidents at night",POSITIVE,5,Construction,Ward 8
Street light maintenance scheduled for this weekend,NEUTRAL,3,Public Safety,Ward 42
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Sanitation,Ward 22
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Electricity,Ward 42
Committee formed to review delayed projects,NEUTRAL,3,Sanitation,Ward 31
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Sanitation,Ward 25
Road widening project expected to complete next month,NEUTRAL,3,Electricity,Ward 15
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Construction,Ward 2
Construction of new school building underway,NEUTRAL,3,Education,Ward 48
Environmental clearance received for park project,NEUTRAL,3,Healthcare,Ward 42
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Roads,Ward 47
New traffic signals have reduced accidents in our area,POSITIVE,5,Healthcare,Ward 24
Environmental clearance received for park project,NEUTRAL,3,Water,Ward 26
Work order issued for pothole repair,NEUTRAL,3,Education,Ward 43
Public toilets are now clean and well maintained,POSITIVE,5,Construction,Ward 10
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Sanitation,Ward 5
Committee formed to review delayed projects,NEUTRAL,3,Construction,Ward 28
"Water quality has improved, no more complaints from residents",POSITIVE,4,Sanitation,Ward 46
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Education,Ward 50
"Contractor used substandard materials, work failing",NEGATIVE,1,Transport,Ward 46
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Sanitation,Ward 28
The bridge repair was done with high quality materials,POSITIVE,5,Construction,Ward 41
Power outage scheduled for maintenance work,NEUTRAL,3,Roads,Ward 6
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Education,Ward 11
"Complaint registered, under review by department",NEUTRAL,3,Parks,Ward 14
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Water,Ward 30
"Construction noise at midnight, residents suffering",NEGATIVE,2,Transport,Ward 16
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Public Safety,Ward 6
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Transport,Ward 25
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Transport,Ward 2
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Construction,Ward 44
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Parks,Ward 49
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Healthcare,Ward 1
"Complaint registered, under review by department",NEUTRAL,3,Healthcare,Ward 4
Survey completed for new drainage line,NEUTRAL,3,Parks,Ward 23
"Complained 10 times about potholes, zero response",NEGATIVE,2,Sanitation,Ward 48
Garbage collection timings have been changed to morning,NEUTRAL,3,Sanitation,Ward 4
Project completion date extended by two months,NEUTRAL,3,Electricity,Ward 16
Electricity department working on transformer upgrade,NEUTRAL,3,Roads,Ward 9
New hospital wing is a great addition to our area,POSITIVE,4,Public Safety,Ward 24
Solar street lights are a wonderful initiative,POSITIVE,5,Transport,Ward 2
Electricity department working on transformer upgrade,NEUTRAL,3,Water,Ward 3
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Healthcare,Ward 8
Traffic signal upgrade project is under review,NEUTRAL,3,Healthcare,Ward 8
"Road marking done properly, reduces accidents at night",POSITIVE,4,Healthcare,Ward 50
Road dug up for pipeline but not restored for months,NEGATIVE,1,Construction,Ward 38
Project started but no updates for 6 months,NEGATIVE,2,Construction,Ward 16
The bridge repair was done with high quality materials,POSITIVE,4,Parks,Ward 20
"Garbage not collected for a week, health hazard",NEGATIVE,2,Electricity,Ward 20
Power outage scheduled for maintenance work,NEUTRAL,3,Construction,Ward 7
Solar street lights are a wonderful initiative,POSITIVE,5,Public Safety,Ward 22
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Water,Ward 20
Road dug up for pipeline but not restored for months,NEGATIVE,1,Electricity,Ward 21
"Bus frequency has increased, commuting is easier",POSITIVE,4,Education,Ward 42
Construction of new school building underway,NEUTRAL,3,Roads,Ward 47
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Public Safety,Ward 18
"Complained 10 times about potholes, zero response",NEGATIVE,2,Electricity,Ward 6
"Bridge cracks visible, no action from authorities",NEGATIVE,2,Public Safety,Ward 33
The sanitation team is doing a commendable job,POSITIVE,5,Roads,Ward 19
"Road marking done properly, reduces accidents at night",POSITIVE,5,Public Safety,Ward 33
"Garbage not collected for a week, health hazard",NEGATIVE,2,Construction,Ward 29
The construction work was neat and professional,POSITIVE,5,Transport,Ward 32
"Park renovation looks beautiful, children love it",POSITIVE,4,Education,Ward 7
Happy with the prompt response from civic authorities,POSITIVE,4,Construction,Ward 42
Power outage scheduled for maintenance work,NEUTRAL,3,Water,Ward 13
Environmental clearance received for park project,NEUTRAL,3,Public Safety,Ward 40
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Healthcare,Ward 37
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Public Safety,Ward 29
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Public Safety,Ward 30
Road widening project completed ahead of schedule,POSITIVE,4,Construction,Ward 19
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Transport,Ward 37
Hospital renovation work started last month,NEUTRAL,3,Education,Ward 4
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Parks,Ward 18
"Water quality has improved, no more complaints from residents",POSITIVE,4,Roads,Ward 31
"Park facilities broken, children getting hurt",NEGATIVE,2,Transport,Ward 9
Road dug up for pipeline but not restored for months,NEGATIVE,1,Transport,Ward 7
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Public Safety,Ward 50
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Water,Ward 29
Authorities not responding to any complaints,NEGATIVE,1,Roads,Ward 31
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Construction,Ward 1
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Electricity,Ward 12
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Parks,Ward 2
Electricity department working on transformer upgrade,NEUTRAL,3,Water,Ward 23
Electricity department working on transformer upgrade,NEUTRAL,3,Electricity,Ward 12
"Electricity outages have reduced significantly, great work",POSITIVE,5,Construction,Ward 4
Water pipeline replacement work in progress,NEUTRAL,3,Education,Ward 20
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Construction,Ward 15
New bus route announcement expected soon,NEUTRAL,3,Parks,Ward 11
"Garbage not collected for a week, health hazard",NEGATIVE,1,Healthcare,Ward 19
Environmental clearance received for park project,NEUTRAL,3,Transport,Ward 32
Public toilets are now clean and well maintained,POSITIVE,4,Sanitation,Ward 9
New project for park development announced for our ward,NEUTRAL,3,Water,Ward 24
"Bus frequency has increased, commuting is easier",POSITIVE,5,Healthcare,Ward 13
The contractor did excellent work on the drainage project,POSITIVE,4,Construction,Ward 7
Hospital renovation work started last month,NEUTRAL,3,Education,Ward 35
"Water quality has improved, no more complaints from residents",POSITIVE,5,Electricity,Ward 27
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Electricity,Ward 13
Solar street lights are a wonderful initiative,POSITIVE,5,Healthcare,Ward 49
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Roads,Ward 47
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Roads,Ward 7
Road widening project completed ahead of schedule,POSITIVE,4,Public Safety,Ward 35
"Construction noise at midnight, residents suffering",NEGATIVE,1,Construction,Ward 12
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Transport,Ward 30
"Park renovation looks beautiful, children love it",POSITIVE,4,Water,Ward 20
